length, mark, action, count, code, tree
  2.995,137,buy,999,[I0]0XI6#2,Bohdi
  0.508,42,buy,768,[W]1NC1#4,Holly
  0.570,69,buy,877,[Y8]6JN0#9,Balsa
  2.000,184,buy,230,[K2]9EE2#4,Elm
  1.190,185,buy,866,[M3]2VE1#3,Walnut
  0.461,24,sell,930,[A5]2PN7#3,Fir
  1.817,125,buy,320,[P0]3EA9#8,Pear
  2.589,2,buy,538,[B989TC2#0,Spruce
  0.551,137,buy,957,[R2]9MJ8#5,Birch
  1.227,138,buy,941,[W7]3AI9#6,Cherry
  1.502,145,buy,14,[D9]1MD2#3,Hazel
  0.729,92,buy,246,[L2]9LV2#4,Acacia
  0.455,121,buy,863,[V8]9DB4#7,Birch
  1.673,195,sell,868,[E9]6RDv#8,Cherry
  4.688,157,buy,963,[V6]4CA5#2,Larch
  1.894,177,buy,894,[B1]6RF6#0,Elm
  0.667,152,buy,987,[R6]YE6#4,Birch
  0.256,67,buy,866,[V8]9GF7#3,Larch
  6.919,148,buy,940,[U2]5RB7#0,Balsa
  1.563,193,buy,743,[A2]3YX8#1,Ebony
  8.958,115,buy,766,[A8]2HG7#5,Elm
  1.398,13,buy,899,[R2]6GR2#1,Spruce
  0.510,18,buy,811,[Z5]4JZ9#7,Spruce
  0.362,21,buy,793,[B9]1XX3#4,Yew
  0.486,94,buy,874,[N1]9IP0#7,Ash
  1.881,59,buy,990,[B1]9DY8#7,Balsa
  0.892,175,buy,490,[J3]3MX2#1,Olive
  1.102,46,sell,833,[V2]4FA6#3,Acacia
  0.819,26,buy,921,[C7]6GE1#1,Ebony
  1.021,4,sell,960,[B5]0HS5#5,Hornbeam
  0.494,21,buy,315,[C5]9PX4#0,Bean
  1.486,64,buy,600,[F7]0ST5#4,Elm
  3.072,56,buy,809,[W3]2VP0#6,Ash
  1.583,124,buy,729,[T8]4ZC6#9,Chestnut
  2.439,171,buy,791,[J0]7HL5#0,Larch
  0.390,151,buy,967,[V2]6XQ4#9,Birch
  2.006,144,sell,248,[F5]8AU2#7,Magnolia
  0.169,111,buy,942,[D2]7KL9#0,Elm
  6.695,55,buy,588,[W7]2MS5#8,Birch
  1.134,56,buy,565,[H6]2NY1#0,Ebony
  8.853,180,buy,596,[N1]8UU2#1,Acer
  8.746,13,buy,853,[E4]4YC6#3,Elm
  0.420,52,buy,652,[A2]1BQ391,Hornbeam
  0.177,196,buy,765,[W4]9II8#7,Birch
  2.101,69,buy,931,[K3]1KB8#7,Ebony
  0.486,188,buy,585,[C9]5FT0#7,Pear
  1.734,99,buy,834,[VB]3KU7#4,Lemon
  0.946,185,sell,893,[A3]9BI2#2,Balsa
  1.134,199,sell,807,[T0]7PY0#9,Oak
  6.265,57,buy,923,[P1]6QJ1#6,Balsa
  1.565,70,buy,896,[J4]8PM5#9,Elm
  1.017,187,buy,843,[S1]3GR4#1,Hornbeam
  1.013,36,buy,242,[F0]5ZA0#6,Bohdi
  0.251,186,buy,803,[M7]3HY7#7,Rowan
  0.530,17,buy,893,[H8]8JB4#7,Poplar
  1.879,39,buy,764,[Z8]2VY0#0,Cherry
  1.238,118,sell,178,[B9]4AO0#8,Rowan
  0.323,166,buy,865,[L2]8NK8#6,Hornbeam
  6.299,15,buy,830,[O5]1HS4#6,Oak
  2.216,167,buy,882,[I4]0US7#7,Beech
  2.065,146,buy,36,[I0]7UD5#6,Lemon
  0.815,143,buy,746,[X8]9ZLr#5,Chestnut
  0.402,118,buy,880,[61]1OK0#1,Larch
  7.724,149,buy,200,[M1]3LW6#2,Acer
  0.687,57,buy,503,[B4]3VS1#0,Holly
  0.426,60,buy,902,[G1]3AE1#1,Holly
  0.993,190,sell,888,[Q1]2SI4#6,Ash
