length, mark, action, count, code, tree
  0.789,140,buy,774,[Dj7]5DX6#7,Hornbeam
  0.698,131,sell,214,[U5]4RG4#9,Holly
  1.349,182,buy,889,[G6]0SB0#6,Lemon
  1.500,112,buy,825,[I0]3IB7#9,Holly
  1.112,172,buy,898,[W1]1QW4#9,Balsa
  1.547,47,buy,937,[05]3JF2#0,Hazel
  4.377,29,buy,850,[J0]3NA7#6,Birch
  2.014,128,buy,749,[I1]8DK1#1,Ebony
  9.421,128,buy,936,[I7]7YP3#6,Cherry
  1.682,150,buy,241,[C0]4ZH5#8,Chestnut
  0.542,108,buy,25,[V1]5MR7#0,Lemon
  0.932,80,sell,749,[C1]2SG5#1,Holly
  1.185,118,buy,917,[N0]5RZ0#4,Cherry
  6.093,3,buy,976,[S3]8TZ9#3,Bohdi
  0.653,139,buy,394,[C3]6AR3#1,Plane
  1.004,71,buy,803,[P8]4HK3#0,Bean
  1.637,191,buy,895,[A4]0DY8#3,Cherry
  1.968,106,buy,823,[M9]2GM1#8,Acacia
  0.119,139,sell,750,[O4]3AP8#0,Apple
  1.596,46,sell,800,[H8]4WK8#8,Poplar
  1.851,40,buy,954,[L1]2ZO9#3,Ebony
  2.067,183,buy,839,[E5]5OQ9#9,Cherry
  1.310,131,buy,181,[K8]3KV0#8,Yew
  0.134,81,buy,454,[A2]6NS0#7,Walnut
  2.221,167,buy,152,[X1]2NJ6#9,Lemon
  8.564,143,buy,920,[X6]6TW5#2,Holly
  0.133,65,buy,786,[O8]2HK3#1,Beech
  2.068,126,buy,936,[B0]!QN8#9,Rowan
  0.453,164,buy,1003,[F2]5TW7#2,Ebony
  0.353,107,buy,751,[V4]0VQ5#9,Acacia
  0.964,154,buy,853,[H3]3JK#4,Fir
  0.682,97,buy,772,[G4]6FC5#2,Elm
  1.246,156,buy,969,[N9]7UV8#8,Bean
  1.680,152,buy,808,[E6]9WL5#7,Acacia
  1.389,27,sell,817,[Y9]3UV1#1,Hornbeam
  9.452,74,buy,944,[X6]5LW9#8,Elm
  2.065,127,sell,97,[E5]8WB8#3,Walnut
  2.047,104,sell,996,[M2]2LL2#6,Hazel
  0.348,188,buy,396,[C3]4KP6#7,Larch
  0.394,55,buy,931,[S1]5AW6#6,Bean
  0.532,123,buy,872,[G7]0WG3#9,Yew
